27356; Bager0; 2018; 350582
94424; Bager1; 2013; 860924
85994; Bager2; 2019; 188489
27088; Bager3; 2020; 109195
39618; Bager4; 2004; 280164
99418; Bager5; 2019; 830879
67549; Bager6; 2008; 374080
22095; Bager7; 2000; 640476
72507; Bager8; 2011; 536183
5038; Bager9; 2004; 520373
60567; Bager10; 2005; 856239
62050; Bager11; 2018; 1552
55849; Bager12; 1996; 910633
92152; Bager13; 2018; 291870
22848; Bager14; 2010; 980119
63109; Bager15; 2020; 945754
61386; Bager16; 2020; 870774
83306; Bager17; 1991; 827727
73584; Bager18; 1991; 553736
71300; Bager19; 1997; 48756
33149; Bager20; 2016; 490368
67143; Bager21; 2011; 463625
26042; Bager22; 2014; 587540
28582; Bager23; 2004; 723308
92104; Bager24; 2014; 670612
9138; Bager25; 2021; 671023
66375; Bager26; 1993; 741010
59452; Bager27; 2003; 498728
65310; Bager28; 2014; 445510
3822; Bager29; 2018; 824578
45333; Bager30; 2017; 970920
86325; Bager31; 2009; 86158
80348; Bager32; 2007; 992043
52132; Bager33; 2001; 168310
36463; Bager34; 2000; 507682
15599; Bager35; 2019; 294672
16554; Bager36; 2010; 60754
88388; Bager37; 1991; 126455
31466; Bager38; 2013; 386921
99172; Bager39; 1990; 891509
2793; Bager40; 1997; 889918
76533; Bager41; 2016; 596169
75486; Bager42; 1991; 155493
58860; Bager43; 1998; 439809
68219; Bager44; 1994; 720512
57697; Bager45; 1997; 99474
99113; Bager46; 2006; 859185
15933; Bager47; 2017; 232524
76618; Bager48; 2008; 794178
84602; Bager49; 2007; 861678
70224; Bager50; 2015; 534061
10952; Bager51; 2005; 149975
28560; Bager52; 2009; 500555
91239; Bager53; 2002; 852761
14778; Bager54; 2008; 370263
62473; Bager55; 1996; 905886
41188; Bager56; 2013; 502097
29457; Bager57; 1990; 516387
4200; Bager58; 2017; 353045
66082; Bager59; 2021; 265694
80397; Bager60; 2019; 504237
30087; Bager61; 2018; 470844
90669; Bager62; 2008; 645483
57483; Bager63; 1999; 636964
60292; Bager64; 1992; 107053
1635; Bager65; 1990; 298737
86363; Bager66; 1994; 361370
88940; Bager67; 2004; 819087
36598; Bager68; 2003; 809268
2749; Bager69; 1992; 631103
79896; Bager70; 2009; 596113
24251; Bager71; 1993; 487157
35503; Bager72; 2017; 687442
90042; Bager73; 2012; 625287
26779; Bager74; 2016; 440735
86648; Bager75; 2012; 921060
41524; Bager76; 1990; 855615
6376; Bager77; 2015; 856257
90528; Bager78; 2019; 469398
68829; Bager79; 2019; 473429
66496; Bager80; 2018; 510236
2423; Bager81; 2014; 673313
5044; Bager82; 2001; 970012
62369; Bager83; 2011; 166297
61518; Bager84; 2020; 427685
73872; Bager85; 2010; 603120
38456; Bager86; 2005; 723260
88932; Bager87; 2009; 42310
77773; Bager88; 2013; 825862
74245; Bager89; 2000; 195821
2758; Bager90; 2011; 911131
22187; Bager91; 1997; 827121
12390; Bager92; 1997; 61796
76974; Bager93; 2016; 324471
95153; Bager94; 2015; 368002
69242; Bager95; 2004; 832293
43428; Bager96; 1995; 285813
86761; Bager97; 1999; 439785
75266; Bager98; 2014; 279735
47324; Bager99; 1997; 30986
